batch_size,worker_num,prefetch_factor,batch_idx,data_time,training_time
64,16,1,169,0.02693963050842285,0.0740814208984375
64,16,1,170,0.01804351806640625,0.07525515556335449
64,16,1,171,0.017210721969604492,0.07109355926513672
64,16,1,172,0.034197092056274414,0.07383561134338379
64,16,1,173,0.04402732849121094,0.07227849960327148
64,16,1,174,0.025290250778198242,0.0737156867980957
64,16,1,175,0.02792811393737793,0.0715634822845459
64,16,1,176,0.03069901466369629,0.08022809028625488
64,16,1,177,0.01851677894592285,0.0749063491821289
64,16,1,178,0.035233259201049805,0.07384848594665527
64,16,1,179,0.028595924377441406,0.07359766960144043
64,16,1,180,0.027074813842773438,0.08163309097290039
64,16,1,181,0.01697516441345215,0.07486939430236816
64,16,1,182,0.025267839431762695,0.07579374313354492
64,16,1,183,0.025529146194458008,0.0768425464630127
64,16,1,184,0.03659963607788086,0.07360100746154785
64,16,1,185,0.02237248420715332,0.07287859916687012
64,16,1,186,0.024837017059326172,0.07474541664123535
64,16,1,187,0.026862621307373047,0.07940077781677246
64,16,1,188,0.021504640579223633,0.07544493675231934
64,16,1,189,0.022516727447509766,0.0753474235534668
64,16,1,190,0.018192291259765625,0.0759429931640625
64,16,1,191,0.021100759506225586,0.07633638381958008
64,16,1,192,0.024880647659301758,0.07101154327392578
64,16,1,193,0.030305862426757812,0.07796907424926758
64,16,1,194,0.018317699432373047,0.074310302734375
64,16,1,195,0.022129297256469727,0.07548975944519043
64,16,1,196,0.019442081451416016,0.07500958442687988
64,16,1,197,0.023275136947631836,0.07607722282409668
64,16,1,198,0.008712530136108398,0.07827472686767578
64,16,1,199,0.02592301368713379,0.07654786109924316
64,16,1,200,0.02048802375793457,0.07443118095397949
64,16,1,201,0.015700817108154297,0.07817482948303223
64,16,1,202,0.014861822128295898,0.07885098457336426
64,16,1,203,0.015267133712768555,0.07327675819396973
64,16,1,204,0.033907175064086914,0.07316803932189941
64,16,1,205,0.02593398094177246,0.0776662826538086
64,16,1,206,0.01025700569152832,0.07702064514160156
64,16,1,207,0.02113819122314453,0.0734243392944336
64,16,1,208,0.029199600219726562,0.07944726943969727
64,16,1,209,0.033390045166015625,0.07430315017700195
64,16,1,210,0.019831418991088867,0.07683396339416504
64,16,1,211,0.0197908878326416,0.0744633674621582
64,16,1,212,0.037987470626831055,0.07568669319152832
64,16,1,213,0.02253866195678711,0.07671284675598145
64,16,1,214,0.029361486434936523,0.07688212394714355
64,16,1,215,0.021752357482910156,0.07755494117736816
64,16,1,216,0.01768946647644043,0.07683157920837402
64,16,1,217,0.025154590606689453,0.07412266731262207
64,16,1,218,0.02598738670349121,0.07422113418579102
64,16,1,219,0.0241086483001709,0.07479286193847656
64,16,1,220,0.018825769424438477,0.07556962966918945
64,16,1,221,0.02215266227722168,0.0778813362121582
64,16,1,222,0.01055002212524414,0.07425212860107422
64,16,1,223,0.012045860290527344,0.07679057121276855
64,16,1,224,0.03291177749633789,0.07362508773803711
64,16,1,225,0.027927637100219727,0.07409048080444336
64,16,1,226,0.029462099075317383,0.07741951942443848
64,16,1,227,0.025586605072021484,0.07567620277404785
64,16,1,228,0.020751237869262695,0.07594418525695801
64,16,1,229,0.020487308502197266,0.0714871883392334
64,16,1,230,0.019547462463378906,0.07413816452026367
64,16,1,231,0.02260136604309082,0.07754850387573242
64,16,1,232,0.017349720001220703,0.07527279853820801
64,16,1,233,0.007169008255004883,0.0714113712310791
64,16,1,234,0.011051416397094727,0.07040882110595703
64,16,1,235,0.013043880462646484,0.07403564453125
64,16,1,236,0.013285636901855469,0.07265305519104004
64,16,1,237,0.03208494186401367,0.07242703437805176
64,16,1,238,0.03604602813720703,0.07584023475646973
64,16,1,239,0.021746397018432617,0.07837033271789551
64,16,1,240,0.023926734924316406,0.07829594612121582
64,16,1,241,0.024895668029785156,0.07454800605773926
64,16,1,242,0.02995753288269043,0.07384943962097168
64,16,1,243,0.028450965881347656,0.07539677619934082
64,16,1,244,0.0419464111328125,0.07328319549560547
64,16,1,245,0.026024818420410156,0.07757043838500977
64,16,1,246,0.022281169891357422,0.07272100448608398
64,16,1,247,0.024543285369873047,0.07643866539001465
64,16,1,248,0.013247489929199219,0.075836181640625
64,16,1,249,0.015666723251342773,0.07513880729675293
64,16,1,250,0.020231246948242188,0.0784914493560791
64,16,1,251,0.014795064926147461,0.07273268699645996
64,16,1,252,0.032938480377197266,0.07737874984741211
64,16,1,253,0.01652669906616211,0.07606887817382812
64,16,1,254,0.028450489044189453,0.0735321044921875
64,16,1,255,0.02084493637084961,0.07429909706115723
64,16,1,256,0.02270650863647461,0.07422304153442383
64,16,1,257,0.021572113037109375,0.07698345184326172
64,16,1,258,0.025791168212890625,0.07543230056762695
64,16,1,259,0.015719175338745117,0.07324910163879395
64,16,1,260,0.03208017349243164,0.07192063331604004
64,16,1,261,0.026164770126342773,0.07715916633605957
64,16,1,262,0.018438100814819336,0.07579207420349121
64,16,1,263,0.018414735794067383,0.07434415817260742
64,16,1,264,0.02504730224609375,0.07059383392333984
64,16,1,265,0.03244137763977051,0.07230401039123535
64,16,1,266,0.024698495864868164,0.07637858390808105
