开始GDS批量测试
GPU设备: 0
基础目录: /mnt/beegfs
======================================
正在测试: 1KB 文件大小
目录路径: /mnt/beegfs/test_dir_1KB_10428_1000
输出文件: output_multi.csv
设置IOSIZE: 32KB = 32768 字节
使用线程数: 1
找到 1000 个文件
预分配文件资源...
资源预分配完成，耗时: 2308 ms
成功分配资源文件数: 1000/1000
开始多线程读操作测试...
完成: file_10159.txt (1 KB, 10.11 ms)
完成: file_10006.txt (1 KB, 10.57 ms)
完成: file_1208.txt (1 KB, 0.68 ms)
完成: file_1499.txt (1 KB, 0.48 ms)
完成: file_1026.txt (1 KB, 14.56 ms)
完成: file_10171.txt (1 KB, 19.92 ms)
完成: file_1295.txt (1 KB, 7.94 ms)
完成: file_1388.txt (1 KB, 16.58 ms)
完成: file_128.txt (1 KB, 25.81 ms)
完成: file_1327.txt (1 KB, 18.79 ms)
完成: file_1340.txt (1 KB, 8.15 ms)
完成: file_10367.txt (1 KB, 0.80 ms)
完成: file_1215.txt (1 KB, 7.68 ms)
完成: file_1423.txt (1 KB, 0.58 ms)
完成: file_10204.txt (1 KB, 10.44 ms)
完成: file_10018.txt (1 KB, 34.32 ms)
完成: file_1178.txt (1 KB, 10.02 ms)
完成: file_1353.txt (1 KB, 20.33 ms)
完成: file_1324.txt (1 KB, 0.94 ms)
完成: file_10251.txt (1 KB, 0.85 ms)
完成: file_1169.txt (1 KB, 0.45 ms)
完成: file_1405.txt (1 KB, 1.25 ms)
完成: file_10366.txt (1 KB, 18.54 ms)
完成: file_1342.txt (1 KB, 8.20 ms)
完成: file_10209.txt (1 KB, 9.29 ms)
完成: file_10048.txt (1 KB, 9.28 ms)
完成: file_1058.txt (1 KB, 26.10 ms)
完成: file_1259.txt (1 KB, 0.59 ms)
完成: file_10023.txt (1 KB, 7.40 ms)
完成: cufile.log (0 KB, 0.00 ms)
完成: file_1115.txt (1 KB, 0.90 ms)
完成: file_1467.txt (1 KB, 20.28 ms)
完成: file_10140.txt (1 KB, 17.46 ms)
完成: file_1376.txt (1 KB, 36.72 ms)
完成: file_1421.txt (1 KB, 10.70 ms)
完成: file_1392.txt (1 KB, 17.43 ms)
完成: file_1379.txt (1 KB, 10.98 ms)
完成: file_10124.txt (1 KB, 0.59 ms)
完成: file_1512.txt (1 KB, 0.36 ms)
完成: file_1033.txt (1 KB, 10.57 ms)
完成: file_10311.txt (1 KB, 0.55 ms)
完成: file_1005.txt (1 KB, 36.50 ms)
完成: file_110.txt (1 KB, 19.48 ms)
完成: file_1180.txt (1 KB, 9.81 ms)
完成: file_1479.txt (1 KB, 19.72 ms)
完成: file_1449.txt (1 KB, 0.84 ms)
完成: file_10361.txt (1 KB, 10.10 ms)
完成: file_1031.txt (1 KB, 0.34 ms)
完成: file_10298.txt (1 KB, 17.99 ms)
完成: file_10025.txt (1 KB, 0.26 ms)
完成: file_1296.txt (1 KB, 8.28 ms)
完成: file_10328.txt (1 KB, 19.07 ms)
完成: file_143.txt (1 KB, 1.18 ms)
完成: file_10170.txt (1 KB, 0.60 ms)
完成: file_10373.txt (1 KB, 9.78 ms)
完成: file_1318.txt (1 KB, 9.92 ms)
完成: file_10212.txt (1 KB, 9.85 ms)
完成: file_10061.txt (1 KB, 0.44 ms)
完成: file_1260.txt (1 KB, 10.20 ms)
完成: file_1246.txt (1 KB, 0.74 ms)
完成: file_10372.txt (1 KB, 19.55 ms)
完成: file_10157.txt (1 KB, 9.64 ms)
完成: file_1399.txt (1 KB, 0.67 ms)
完成: file_1142.txt (1 KB, 10.40 ms)
完成: file_10313.txt (1 KB, 9.92 ms)
完成: file_1288.txt (1 KB, 10.01 ms)
完成: file_1034.txt (1 KB, 9.52 ms)
完成: file_10301.txt (1 KB, 9.80 ms)
完成: file_1149.txt (1 KB, 19.11 ms)
完成: file_1434.txt (1 KB, 0.40 ms)
完成: file_1093.txt (1 KB, 9.55 ms)
完成: file_1378.txt (1 KB, 0.72 ms)
完成: file_1090.txt (1 KB, 0.51 ms)
完成: file_10281.txt (1 KB, 16.55 ms)
完成: file_1015.txt (1 KB, 0.55 ms)
完成: file_10021.txt (1 KB, 0.58 ms)
完成: file_10203.txt (1 KB, 9.56 ms)
完成: file_1495.txt (1 KB, 19.10 ms)
