测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/nvme0/test_dir_1KB_10428,64,32KB,6196.08,1.68,6.05,10428,10428,10.18,3.13
/mnt/nvme0/test_dir_1KB_10428,128,32KB,6144.96,1.70,6.00,10428,10428,10.18,5.64
/mnt/nvme0/test_dir_1KB_10428,256,32KB,5975.93,1.75,5.84,10428,10428,10.18,10.91
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7312.76,1.43,7.14,10428,10428,10.18,18.39
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,7221.61,1.44,7.05,10428,10428,10.18,33.77

//--------------------------------------------------------------------------------
/mnt/nvme0/test_dir_4KB_10428,1,32KB,4914.23,2.12,19.20,10428,10428,40.73,0.13
/mnt/nvme0/test_dir_16KB_10428,1,32KB,1537.83,6.78,24.03,10428,10428,162.94,0.55
/mnt/nvme0/test_dir_4KB_10428,2,32KB,8033.90,1.30,31.38,10428,10428,40.73,0.18
/mnt/nvme0/test_dir_16KB_10428,2,32KB,3219.51,3.24,50.30,10428,10428,162.94,0.49
/mnt/nvme0/test_dir_4KB_10428,4,32KB,14284.93,0.73,55.80,10428,10428,40.73,0.13
/mnt/nvme0/test_dir_16KB_10428,4,32KB,7333.33,1.42,114.58,10428,10428,162.94,0.38
/mnt/nvme0/test_dir_4KB_10428,8,32KB,12326.24,0.85,48.15,10428,10428,40.73,0.22
/mnt/nvme0/test_dir_16KB_10428,8,32KB,8589.79,1.21,134.22,10428,10428,162.94,0.52
/mnt/nvme0/test_dir_4KB_10428,16,32KB,8058.73,1.29,31.48,10428,10428,40.73,0.73
/mnt/nvme0/test_dir_16KB_10428,16,32KB,6452.97,1.62,100.83,10428,10428,162.94,1.02
/mnt/nvme0/test_dir_4KB_10428,32,32KB,6350.79,1.64,24.81,10428,10428,40.73,1.49
/mnt/nvme0/test_dir_16KB_10428,32,32KB,5935.12,1.76,92.74,10428,10428,162.94,1.84
/mnt/nvme0/test_dir_4KB_10428,64,32KB,6723.40,1.55,26.26,10428,10428,40.73,2.94
/mnt/nvme0/test_dir_16KB_10428,64,32KB,5394.72,1.93,84.29,10428,10428,162.94,3.35
/mnt/nvme0/test_dir_4KB_10428,128,32KB,6933.51,1.50,27.08,10428,10428,40.73,5.41
/mnt/nvme0/test_dir_16KB_10428,128,32KB,5986.22,1.74,93.53,10428,10428,162.94,6.22
