IOSize (KB),Threads,Throughput (GiB/sec),IOPS
0.5,8,0.006892,14453.571584
0.5,16,0.013409,28120.711168
0.5,32,0.015024,31507.611648
0.5,64,0.011755,24652.02176
0.5,128,0.008449,17718.837248
0.5,256,0.000365,765.46048
1,1,0.002123,2226.126848
1,2,0.003444,3611.295744
1,4,0.006855,7187.98848
1,8,0.013602,14262.730752
1,16,0.027995,29354.88512
1,32,0.032095,33654.04672
1,64,0.02486,26067.59936
1,128,0.014799,15517.876224
1,256,0.000728,763.363328
2,1,0.004825,2529.6896
2,2,0.007279,3816.292352
2,4,0.014462,7582.253056
2,8,0.027626,14483.980288
2,16,0.052014,27270.316032
2,32,0.059989,31451.512832
2,64,0.048587,25473.581056
2,128,0.026131,13700.169728
2,256,0.001503,788.004864
4,1,0.012485,3272.86784
4,2,0.025799,6763.053056
4,4,0.052551,13775.929344
4,8,0.08719,22856.33536
4,16,0.103443,27116.961792
4,32,0.111776,29301.407744
4,64,0.089605,23489.41312
4,128,0.048509,12716.343296
4,256,0.023569,6178.471936
8,1,0.021581,2828.664832
8,2,0.040901,5360.975872
8,4,0.082998,10878.713856
8,8,0.154997,20315.766784
8,16,0.189765,24872.87808
8,32,0.224191,29385.162752
8,64,0.154765,20285.35808
